"だいがく","college; university"
"<ruby>五つ<rt>いつつ</rt></ruby>","five (～つ)"
"<ruby>六<rt>ろく</rt></ruby>","six"
"<ruby>六時<rt>ろくじ</rt></ruby>","six o'clock"
"<ruby>六百<rt>ろっぴゃく</rt></ruby>","six hundred"
"<ruby>六分<rt>ろっぷん</rt></ruby>","six minutes"
"<ruby>六つ<rt>むっつ</rt></ruby>","six (～つ)"
"あまり","not much"
"<ruby>全然<rt>ぜんぜん</rt></ruby>","not at all"
"たいてい","usually"
"ちょっと","a little"
"<ruby>時々<rt>ときどき</rt></ruby>","sometimes"
"よく","often; much"
"<ruby>七<rt>しち／なな</rt></ruby>","seven"
"<ruby>七時<rt>しちじ</rt></ruby>","seven o'clock"
"<ruby>七月<rt>しちがつ</rt></ruby>","July"
"<ruby>七つ<rt>ななつ</rt></ruby>","seven (～つ)"
"<ruby>七人<rt>ななにん／しちにん</rt></ruby>","seven people"
"<ruby>八<rt>はち</rt></ruby>","eight"
"<ruby>八時<rt>はちじ</rt></ruby>","eight o'clock"
"<ruby>八百<rt>はっぴゃく</rt></ruby>","eight hundred"
"<ruby>八歳<rt>はっさい</rt></ruby>","eight years old"
"<ruby>八つ<rt>やっつ</rt></ruby>","eight (～つ)"
"<ruby>九<rt>きゅう</rt></ruby>","nine"
"<ruby>九時<rt>くじ</rt></ruby>","nine o'clock"
"<ruby>九月<rt>くがつ</rt></ruby>","September"
"<ruby>九歳<rt>きゅうさい</rt></ruby>","nine years old"
"<ruby>九つ<rt>ここのつ</rt></ruby>","nine (～つ)"
"いい","good"
"<ruby>早い<rt>はやい</rt></ruby>","early"
"そうですね","That's right.; Let me see."
"でも","but"
"どうですか","How about...?; How is...?"
"ええ","yes"
"<ruby>十<rt>じゅう／とお</rt></ruby>","ten"
"<ruby>十時<rt>じゅうじ</rt></ruby>","ten o'clock"
"<ruby>十月<rt>じゅうがつ</rt></ruby>","October"
"<ruby>十歳<rt>じゅっさい／じっさい</rt></ruby>","ten years old"
"<ruby>百<rt>ひゃく</rt></ruby>","hundred"
"<ruby>三百<rt>さんびゃく</rt></ruby>","three hundred"
"<ruby>六百<rt>ろっぴゃく</rt></ruby>","six hundred"
"<ruby>八百<rt>はっぴゃく</rt></ruby>","eight hundred"
"<ruby>千<rt>せん</rt></ruby>","thousand"
"<ruby>三千<rt>さんぜん</rt></ruby>","three thousand"
"<ruby>八千<rt>はっせん</rt></ruby>","eight thousand"
"<ruby>千円<rt>せんえん</rt></ruby>","one thousand yen"
"<ruby>一万<rt>いちまん</rt></ruby>","ten thousand"
"<ruby>十万<rt>じゅうまん</rt></ruby>","one hundred thousand"
"<ruby>百万<rt>ひゃくまん</rt></ruby>","one million"
"<ruby>百円<rt>ひゃくえん</rt></ruby>","one hundred yen"
"<ruby>円<rt>えん</rt></ruby>","circle"
"<ruby>円高<rt>えんだか</rt></ruby>","strong yen"
"<ruby>円い<rt>まるい</rt></ruby>","round"
"<ruby>一時<rt>いちじ</rt></ruby>","one o'clock"
"<ruby>時間<rt>じかん</rt></ruby>","time; ...hours"
"<ruby>子供の時<rt>こどものとき</rt></ruby>","in one's childhood"
"<ruby>時々<rt>ときどき</rt></ruby>","sometimes"
"<ruby>時計<rt>とけい</rt></ruby>","watch"
"<ruby>犬<rt>いぬ</rt></ruby>","dog"
"<ruby>猫<rt>ねこ</rt></ruby>","cat"
"<ruby>人<rt>ひと</rt></ruby>","person"
"<ruby>子供<rt>こども</rt></ruby>","child"
"あなた","you"
"いす","chair"
"<ruby>机<rt>つくえ</rt></ruby>","desk"
"<ruby>写真<rt>しゃしん</rt></ruby>","picture; photograph"
"<ruby>花<rt>はな</rt></ruby>","flower"
"レポート","(term) paper"
"<ruby>ご飯<rt>ごはん</rt></ruby>","rice; meal"
"パン","bread"
"ゲーム","game"
"アルバイト","part-time job"
"バイト","part-time job (colloquial)"
"<ruby>買い物<rt>かいもの</rt></ruby>","shopping"
"クラス","class"
"<ruby>お寺<rt>おてら</rt></ruby>","temple"
"<ruby>公園<rt>こうえん</rt></ruby>","park"
"スーパー","supermarket"
"<ruby>バス停<rt>バスてい</rt></ruby>","bus stop"
"<ruby>病院<rt>びょういん</rt></ruby>","hospital"
"ホテル","hotel"
"<ruby>本屋<rt>ほんや</rt></ruby>","bookstore"
"<ruby>町<rt>まち</rt></ruby>","town; city"
"レストラン","restaurant"
"<ruby>昨日<rt>きのう</rt></ruby>","yesterday"
"<ruby>～時間<rt>～じかん</rt></ruby>","...hours"
"<ruby>一時間<rt>いちじかん</rt></ruby>","one hour"
"<ruby>先週<rt>せんしゅう</rt></ruby>","last week"
"<ruby>時<rt>とき</rt></ruby>","when...; at the time of... (～の)"
"<ruby>月曜日<rt>げつようび</rt></ruby>","Monday"
"<ruby>火曜日<rt>かようび</rt></ruby>","Tuesday"
"<ruby>水曜日<rt>すいようび</rt></ruby>","Wednesday"
"<ruby>木曜日<rt>もくようび</rt></ruby>","Thursday"
"<ruby>金曜日<rt>きんようび</rt></ruby>","Friday"
"<ruby>会う<rt>あう</rt></ruby>","to meet; to see (a person) <small>(<em>person</em> に)</small>"
"ある","there is... <small>(<em>place</em> に <em>thing</em> が)</small>"
"<ruby>買う<rt>かう</rt></ruby>","to buy <small>(～を)</small>"
"<ruby>書く<rt>かく</rt></ruby>","to write <small>(<em>person</em> に <em>thing</em> を)</small>"
"<ruby>撮る<rt>とる</rt></ruby>","to take (a picture) <small>(～を)</small>"
"<ruby>待つ<rt>まつ</rt></ruby>","to wait <small>(～を)</small>"
"わかる","to understand <small>(～が)</small>"
"いる","(a person) is in...; stays at... <small>(<em>place</em> に <em>person</em> が)</small>"
"<ruby>日本<rt>にほん</rt></ruby>","Japan"
"<ruby>日曜日<rt>にちようび</rt></ruby>","Sunday"
"<ruby>毎日<rt>まいにち</rt></ruby>","every day"
"<ruby>母の日<rt>ははのひ</rt></ruby>","Mother's day"
"<ruby>日記<rt>にっき</rt></ruby>","diary"
"<ruby>三日<rt>みっか</rt></ruby>","three days"
"<ruby>本<rt>ほん</rt></ruby>","book"
"<ruby>日本語<rt>にほんご</rt></ruby>","Japanese language"
"<ruby>山本さん<rt>やまもとさん</rt></ruby>","Mr./Ms. Yamamoto"
"<ruby>日本人<rt>にほんじん</rt></ruby>","Japanese people"
"<ruby>一人で<rt>ひとりで</rt></ruby>","alone"
"<ruby>この人<rt>このひと</rt></ruby>","this person"
"<ruby>三人<rt>さんにん</rt></ruby>","three people"
"～ぐらい","about (approximate measurement)"
"ごめんなさい","I'm sorry."
"それから","and then"
"だから","so; therefore"
"たくさん","many; a lot"
"～と","together with (a person); and"
"どうして","why"
"<ruby>一人で<rt>ひとりで</rt></ruby>","alone"
"もしもし","Hello? (used on the phone)"
"<ruby>月曜日<rt>げつようび</rt></ruby>","Monday"
"<ruby>一月<rt>いちがつ</rt></ruby>","January"
"<ruby>月<rt>つき</rt></ruby>","moon"
"<ruby>今月<rt>こんげつ</rt></ruby>","this month"
"<ruby>一か月<rt>いっかげつ</rt></ruby>","one month"
"<ruby>火曜日<rt>かようび</rt></ruby>","Tuesday"
"<ruby>火<rt>ひ</rt></ruby>","fire"
"<ruby>火山<rt>かざん</rt></ruby>","volcano"
"<ruby>花火<rt>はなび</rt></ruby>","fireworks"
"<ruby>火星<rt>かせい</rt></ruby>","Mars"
"<ruby>右<rt>みぎ</rt></ruby>","right <small>(～の)</small>"
"<ruby>左<rt>ひだり</rt></ruby>","left <small>(～の)</small>"
"<ruby>前<rt>まえ</rt></ruby>","front <small>(～の)</small>"
"<ruby>後ろ<rt>うしろ</rt></ruby>","back <small>(～の)</small>"
"<ruby>中<rt>なか</rt></ruby>","inside <small>(～の)</small>"
"<ruby>上<rt>うえ</rt></ruby>","on <small>(～の)</small>"
"<ruby>下<rt>した</rt></ruby>","under <small>(～の)</small>"
"<ruby>近く<rt>ちかく</rt></ruby>","near; nearby <small>(～の)</small>"
"<ruby>隣<rt>となり</rt></ruby>","next <small>(～の)</small>"
"<ruby>間<rt>あいだ</rt></ruby>","between <small>(A と B の)</small>"
"<ruby>水曜日<rt>すいようび</rt></ruby>","Wednesday"
"<ruby>水<rt>みず</rt></ruby>","water"
"<ruby>水泳<rt>すいえい</rt></ruby>","swimming"
"<ruby>水道<rt>すいどう</rt></ruby>","water supply"
"<ruby>水着<rt>みずぎ</rt></ruby>","bathing suit"
"<ruby>木曜日<rt>もくようび</rt></ruby>","Thursday"
"<ruby>木<rt>き</rt></ruby>","tree"
"<ruby>木村さん<rt>きむらさん</rt></ruby>","Mr./Ms. Kimura"
"<ruby>金曜日<rt>きんようび</rt></ruby>","Friday"
"<ruby>お金<rt>おかね</rt></ruby>","money"
"<ruby>料金<rt>りょうきん</rt></ruby>","charge"
"<ruby>お金持ち<rt>おかねもち</rt></ruby>","rich person"
"ついたち","first day of the month"
"ふつか","second day of the month"
"みっか","third day of the month"
"よっか","fourth day of the month"
"いつか","fifth day of the month"
"むいか","sixth day of the month"
"なのか","seventh day of the month"
"ようか","eighth day of the month"
"ここのか","ninth day of the month"
"とおか","tenth day of the month"
"じゅういちにち","eleventh day of the month"
"じゅうににち","twelfth day of the month"
"じゅうさんにち","thirteenth day of the month"
"じゅうよっか","fourteenth day of the month"
"じゅうごにち","fifteenth day of the month"
"<ruby>土曜日<rt>どようび</rt></ruby>","Saturday"
"<ruby>土<rt>つち</rt></ruby>","soil"
"<ruby>土地<rt>とち</rt></ruby>","land"
"<ruby>粘土<rt>ねんど</rt></ruby>","clay"
"<ruby>日曜日<rt>にちようび</rt></ruby>","Sunday"
"<ruby>曜日<rt>ようび</rt></ruby>","day of the week"
"<ruby>上<rt>うえ</rt></ruby>","top; above"
"<ruby>上手な<rt>じょうずな</rt></ruby>","good at"
"<ruby>屋上<rt>おくじょう</rt></ruby>","rooftop"
"<ruby>上る<rt>のぼる</rt></ruby>","to go up"
"じゅうろくにち","sixteenth day of the month"
"じゅうしちにち","seventeenth day of the month"
"じゅうはちにち","eighteenth day of the month"
"じゅうくにち","nineteenth day of the month"
"はつか","twentieth day of the month"
"にじゅういちにち","twenty-first day of the month"
"にじゅうににち","twenty-second day of the month"
"にじゅうさんにち","twenty-third day of the month"
"にじゅうよっか","twenty-fourth day of the month"
"にじゅうごにち","twenty-fifth day of the month"
"にじゅうろくにち","twenty-sixth day of the month"
"にじゅうしちにち","twenty-seventh day of the month"
"にじゅうはちにち","twenty-eighth day of the month"
"にじゅうくにち","twenty-ninth day of the month"
"さんじゅうにち","thirtieth day of the month"
"さんじゅういちにち","thirty-first day of the month"
"<ruby>下<rt>した</rt></ruby>","under"
"<ruby>地下鉄<rt>ちかてつ</rt></ruby>","subway"
"<ruby>下手な<rt>へたな</rt></ruby>","poor at"
"<ruby>下さい<rt>ください</rt></ruby>","Please give/do..."
"<ruby>中<rt>なか</rt></ruby>","inside"
"<ruby>中国<rt>ちゅうごく</rt></ruby>","China"
"<ruby>中学<rt>ちゅうがく</rt></ruby>","junior high school"
"<ruby>一年中<rt>いちねんじゅう</rt></ruby>","all year round"
"<ruby>三時半<rt>さんじはん</rt></ruby>","half past three"
"<ruby>半分<rt>はんぶん</rt></ruby>","half"
"<ruby>半年<rt>はんとし</rt></ruby>","half a year"
"<ruby>半額<rt>はんがく</rt></ruby>","half price"
"<ruby>一月<rt>いちがつ</rt></ruby>","January"
"<ruby>二月<rt>にがつ</rt></ruby>","February"
"<ruby>三月<rt>さんがつ</rt></ruby>","March"
"<ruby>四月<rt>しがつ</rt></ruby>","April"
"<ruby>五月<rt>ごがつ</rt></ruby>","May"
"<ruby>六月<rt>ろくがつ</rt></ruby>","June"
"<ruby>七月<rt>しちがつ</rt></ruby>","July"
"<ruby>八月<rt>はちがつ</rt></ruby>","August"
"<ruby>九月<rt>くがつ</rt></ruby>","September"
"<ruby>十月<rt>じゅうがつ</rt></ruby>","October"
"<ruby>十一月<rt>じゅういちがつ</rt></ruby>","November"
"<ruby>十二月<rt>じゅうにがつ</rt></ruby>","December"
"日曜日","Sunday"
"月曜日","Monday"
"火曜日","Tuesday"
"水曜日","Wednesday"
"木曜日","Thursday"
"金曜日","Friday"
"土曜日","Saturday"
"おととい","the day before yesterday"
"<ruby>昨日<rt>きのう</rt></ruby>","yesterday"
"<ruby>今日<rt>きょう</rt></ruby>","today"
"<ruby>明日<rt>あした</rt></ruby>","tomorrow"
"あさって","the day after tomorrow"
"<ruby>二週間前<rt>にしゅうかんまえ</rt></ruby>","two weeks ago"
"<ruby>先週<rt>せんしゅう</rt></ruby>","last week"
"<ruby>今週<rt>こんしゅう</rt></ruby>","this week"
"<ruby>来週<rt>らいしゅう</rt></ruby>","next week"
"<ruby>再来週<rt>さらいしゅう</rt></ruby>","the week after next"
"<ruby>二か月前<rt>にかげつまえ</rt></ruby>","two months ago"
"<ruby>先月<rt>せんげつ</rt></ruby>","last month"
"<ruby>今月<rt>こんげつ</rt></ruby>","this month"
"<ruby>来月<rt>らいげつ</rt></ruby>","next month"
"<ruby>再来月<rt>さらいげつ</rt></ruby>","the month after next"
"おととし","the year before last"
"<ruby>去年<rt>きょねん</rt></ruby>","last year"
"<ruby>今年<rt>ことし</rt></ruby>","this year"
"<ruby>来年<rt>らいねん</rt></ruby>","next year"
"<ruby>再来年<rt>さらいねん</rt></ruby>","the year after next"
"<ruby>食べ物<rt>たべもの</rt></ruby>","food"
"<ruby>飲み物<rt>のみもの</rt></ruby>","drink"
"<ruby>果物<rt>くだもの</rt></ruby>","fruit"
"<ruby>休み<rt>やすみ</rt></ruby>","holiday; day off; absence"
"<ruby>旅行<rt>りょこう</rt></ruby>","travel"
"<ruby>海<rt>うみ</rt></ruby>","sea"
"サーフィン","surfing"
"<ruby>お土産<rt>おみやげ</rt></ruby>","souvenir"
"バス","bus"
"<ruby>天気<rt>てんき</rt></ruby>","weather"
"<ruby>宿題<rt>しゅくだい</rt></ruby>","homework"
"テスト","test"
"<ruby>誕生日<rt>たんじょうび</rt></ruby>","birthday"
"<ruby>部屋<rt>へや</rt></ruby>","room"
"<ruby>僕<rt>ぼく</rt></ruby>","I (used by men)"
"<ruby>Lサイズ<rt>エルサイズ</rt></ruby>","size L; large size"
"<ruby>新しい<rt>あたらしい</rt></ruby>","new"
"<ruby>古い<rt>ふるい</rt></ruby>","old (thing)"
"<ruby>暑い<rt>あつい</rt></ruby>","hot (weather)"
"<ruby>寒い<rt>さむい</rt></ruby>","cold (weather)"
"<ruby>熱い<rt>あつい</rt></ruby>","hot (thing)"
"<ruby>忙しい<rt>いそがしい</rt></ruby>","busy (people/days)"
"<ruby>大きい<rt>おおきい</rt></ruby>","large"
"<ruby>小さい<rt>ちいさい</rt></ruby>","small"
"<ruby>面白い<rt>おもしろい</rt></ruby>","interesting; funny"
"つまらない","boring"
"やさしい","easy (problem); kind (person)"
"<ruby>難しい<rt>むずかしい</rt></ruby>","difficult"
"かっこいい","good-looking <small>(conjugates like いい)</small>"
"<ruby>怖い<rt>こわい</rt></ruby>","frightening"
"<ruby>楽しい<rt>たのしい</rt></ruby>","fun"
"<ruby>安い<rt>やすい</rt></ruby>","inexpensive; cheap (thing)"
"<ruby>好き<rt>すき（な）</rt></ruby>","fond of; to like <small>(～が)</small>"
"<ruby>嫌い<rt>きらい（な）</rt></ruby>","disgusted with; to dislike <small>(～が)</small>"
"<ruby>大好き<rt>だいすき（な）</rt></ruby>","very fond of; to love <small>(～が)</small>"
"<ruby>大嫌い<rt>だいきらい（な）</rt></ruby>","to hate <small>(～が)</small>"
"きれい（な）","beautiful; clean"
"<ruby>元気<rt>げんき（な）</rt></ruby>","healthy; energetic"
"<ruby>静か<rt>しずか（な）</rt></ruby>","quiet"
"にぎやか（な）","lively"
"<ruby>暇<rt>ひま（な）</rt></ruby>","not busy; free (time)"
"<ruby>泳ぐ<rt>およぐ</rt></ruby>","to swim"
"<ruby>聞く<rt>きく</rt></ruby>","to ask <small>(<em>person</em> に)</small>"
"<ruby>乗る<rt>のる</rt></ruby>","to ride; to board <small>(～に)</small>"
"やる","to do; to perform <small>(～を)</small>"
"<ruby>出かける<rt>でかける</rt></ruby>","to go out"
"<ruby>山<rt>やま</rt></ruby>","mountain"
"<ruby>山川さん<rt>やまかわさん</rt></ruby>","Mr./Ms. Yamakawa"
"<ruby>富士山<rt>ふじさん</rt></ruby>","Mt. Fuji"
"<ruby>川<rt>かわ</rt></ruby>","river"
"<ruby>小川さん<rt>おがわさん</rt></ruby>","Mr./Ms. Ogawa"
"<ruby>元気な<rt>げんきな</rt></ruby>","fine"
"<ruby>元日<rt>がんじつ</rt></ruby>","the first day of the year"
"<ruby>地元<rt>じもと</rt></ruby>","local"
"<ruby>一緒に<rt>いっしょに</rt></ruby>","together"
"すごく","extremely"
"<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>","It's okay.; Not to worry.; Everything is under control."
"とても","very"
"どんな","what kind of..."
"<ruby>～枚<rt>～まい</rt></ruby>","[counter for flat objects]"
"<ruby>元気な<rt>げんきな</rt></ruby>","fine"
"<ruby>天気<rt>てんき</rt></ruby>","weather"
"<ruby>電気<rt>でんき</rt></ruby>","electricity"
"<ruby>気持ち<rt>きもち</rt></ruby>","feeling"
"<ruby>人気<rt>にんき</rt></ruby>","popularity"
"<ruby>天国<rt>てんごく</rt></ruby>","heaven"
"<ruby>天皇<rt>てんのう</rt></ruby>","Japanese emperor"
"<ruby>天才<rt>てんさい</rt></ruby>","genius"
"<ruby>私<rt>わたし</rt></ruby>","I"
"<ruby>私立大学<rt>しりつだいがく</rt></ruby>","private university"
"<ruby>今<rt>いま</rt></ruby>","now"
"<ruby>今日<rt>きょう</rt></ruby>","today"
"<ruby>今晩<rt>こんばん</rt></ruby>","tonight"
"<ruby>今月<rt>こんげつ</rt></ruby>","this month"
